,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,APH,ATVI,AVGO,CA,CRM,CSCO,CSRA,CTSH,CTXS,EA,EBAY,FB,FFIV,FIS,FISV,FLIR,FSLR,GLW,GOOG,GOOGL,GPN,HPE,HPQ,HRS,IBM,INTC,INTU,JNPR,KLAC,LRCX,MA,MCHP,MSFT,MSI,MU,NFLX,NTAP,NVDA,ORCL,PAYX,PYPL,QCOM,QRVO,RHT,STX,SWKS,SYMC,TDC,TEL,TSS,TXN,V,VRSN,WDC,WU,XLNX,XRX
151,95.940002,118.540001,94.730003,57.52,89.739998,201.460007,58.009998,55.240002,24.34,58.700001,38.66,157.350006,33.369999,81.160004,29.030001,24.639999,62.439999,68.123901,75.620003,24.690001,114.370003,119.120003,73.589996,105.300003,31.459999,49.080002,20.790001,697.450012,710.549988,74.959999,11.257981,12.83,84.379997,153.449997,32.580002,108.029999,23.219999,74.879997,86.279999,95.150002,51.889999,51.279999,67.83000200000001,13.41,90.620003,25.469999,47.68,40.400002,55.650002,36.27,54.849998,56.150002,75.349998,24.16,66.230003,20.870001,28.219999,62.610001,52.880001,62.650002,77.760002,86.66999799999998,49.360001,19.309999,46.900002,26.113306
152,92.910004,112.769997,92.389999,54.91,86.230003,192.710007,56.009998,54.959999,23.5,57.5,37.5,152.0,32.310001,79.410004,28.16,23.75,60.0,65.559799,73.639999,23.77,111.010002,116.760002,71.290001,102.0,30.27,46.509998,20.059999,675.169983,690.169983,73.029999,10.816263,12.41,82.040001,149.970001,31.799999,103.860001,23.190001,72.970001,82.989998,91.480003,50.700001,49.810001,66.050003,13.5,87.529999,24.5,46.5,39.380001,53.779999,35.0,53.009998,56.200001,75.440002,23.41,64.0,20.41,27.309999,59.959999,51.049999,60.509998,74.800003,84.699997,48.189999,18.629999,45.709999,25.296442000000006
153,93.0,110.339996,91.360001,53.860001,85.940002,191.610001,53.34,52.700001,23.040001,56.529999,36.599998,146.5,31.809999,77.459999,27.48,23.190001,57.419998,63.377926,73.010002,22.950001,111.57,112.650002,69.949997,102.300003,29.51,45.18,19.5,671.0,682.48999,69.389999,10.461727,12.11,80.019997,146.179993,31.41,104.239998,22.17,72.190002,81.349998,90.269997,49.889999,49.099998,64.16999799999999,13.13,87.879997,24.48,45.349998,38.869999,54.299999,34.740002000000004,52.290001,53.990002,72.760002,23.0,60.16,20.23,25.65,56.669998,49.98,59.869999,74.18,83.360001,47.490002,18.42,44.82,24.637682
154,92.900002,110.599998,91.370003,53.529999,86.309998,187.960007,51.119999,51.959999,22.75,55.900002,36.66,146.699997,31.48,77.550003,27.549999,22.35,56.380001,62.12772800000001,71.989998,22.889999,110.629997,109.940002,69.050003,102.919998,29.26,44.990002,19.290001,678.969971,691.369995,68.269997,10.171124,11.67,79.559998,144.779999,30.969999,105.199997,21.440001,71.610001,81.0,90.279999,48.790001,48.919998,63.610001,12.64,87.410004,23.120001,46.099998,38.720001,54.509998,34.459999,51.700001,51.810001,71.339996,21.48,59.290001,20.07,25.01,55.450001,49.73,59.41,75.040001,81.510002,43.77,18.290001,44.23,23.899868
155,93.970001,111.669998,92.910004,54.689999,88.470001,188.910004,51.82,53.09,23.25,56.27,37.810001,152.009995,31.77,78.25,28.129999,22.440001,56.740002,63.29829399999999,72.900002,23.18,113.370003,111.620003,71.400002,105.389999,30.16,47.169998,19.6,683.0,694.26001,70.370003,10.310614,11.97,80.93,146.5,31.35,106.610001,21.690001,72.300003,82.529999,91.040001,49.66,49.91,64.230003,13.3,89.66999799999998,23.52,46.299999,39.759998,55.84,35.689999,53.060001,53.099998,71.709999,23.24,61.080002,20.290001,24.959999,55.799999,51.130001,60.700001,75.980003,83.43,44.57,18.73,45.0,24.189724
156,94.440002,112.32,94.480003,55.75,89.370003,194.399994,53.299999,54.790001,23.709999,56.560001,38.23,155.0,32.369999,79.349998,28.379999,22.700001,57.369999,64.317566,73.870003,23.360001,114.669998,112.370003,72.510002,106.879997,30.200001,48.259998,19.91,685.469971,697.650024,71.309998,10.415231,12.27,82.470001,148.860001,32.0,109.370003,22.219999,72.370003,82.809998,92.610001,49.779999,50.720001,65.370003,13.34,90.910004,24.4,46.73,40.48,56.48,35.810001,52.900002,54.790001,73.120003,23.799999,62.029999,20.290001,25.040001,56.200001,51.470001,61.509998,76.989998,84.940002,45.720001,18.84,45.490002,24.321476
157,95.489998,113.660004,95.040001,56.150002,92.0,196.009995,54.119999,55.810001,23.77,57.330002,39.689999,154.470001,32.73,79.589996,28.780001,23.26,57.16,63.59293,75.75,23.43,114.199997,113.910004,73.800003,108.510002,30.99,48.389999,20.34,692.200012,705.099976,71.510002,10.734895,12.55,83.5,151.779999,32.639999,111.730003,22.48,73.0,83.949997,89.160004,50.59,51.130001,65.860001,12.58,95.0,24.540001,46.75,40.779999,59.110001,36.599998,52.990002,54.400002,72.550003,24.209999,62.48,20.450001,25.219999,57.110001,53.16,62.330002,74.5,86.440002,46.77,19.219999,45.869999,24.927536
158,95.389999,113.510002,94.550003,55.990002,92.529999,193.759995,53.919998,55.099998,23.75,56.799999,39.400002,151.580002,32.73,79.099998,28.23,23.370001,56.700001,63.776077,75.779999,23.709999,113.940002,113.410004,74.07,108.639999,31.07,48.209999,20.200001,696.0599980000002,705.01001,71.300003,10.688398,12.62,82.010002,151.190002,32.5,111.510002,22.25,72.230003,82.709999,88.120003,50.16,50.830002,65.470001,12.38,95.199997,24.139999,46.400002,40.330002,59.299999,36.299999,52.950001,53.75,71.57,23.780001,60.669998,20.389999,25.129999,56.419998,52.709999,61.59,74.25,85.18,46.369999,19.280001,45.889999,24.55863
159,94.599998,112.629997,94.529999,55.150002,93.43,192.699997,52.52,54.18,23.620001,55.610001,39.779999,149.360001,32.75,78.480003,28.450001,23.1,55.98,62.74884399999999,75.41999799999998,23.709999,113.360001,112.110001,74.220001,109.339996,30.950001,47.689999,19.860001,689.97998,699.840027,71.370003,10.461727,12.26,81.379997,151.850006,32.799999,112.040001,21.620001,71.959999,81.5,87.160004,49.599998,50.779999,64.41999799999999,11.76,95.029999,23.379999,47.02,40.200001,60.990002,35.939999,51.57,51.490002,71.040001,22.35,58.25,20.219999,24.65,55.470001,52.400002,60.990002,74.120003,83.629997,44.380001,19.0,45.349998,24.137022
160,95.699997,113.510002,95.010002,55.490002,93.169998,195.679993,53.130001,55.0,24.02,56.040001,40.52,150.139999,32.98,78.5,28.719999,23.620001,56.84,63.346073,76.559998,23.92,116.629997,113.629997,74.230003,108.629997,31.35,47.5,20.52,698.080017,710.1099849999998,71.760002,10.659338,12.66,82.75,152.75,32.959999,113.190002,21.860001,72.160004,82.16999799999998,86.949997,49.669998,51.419998,65.190002,11.9,94.699997,23.75,47.970001,40.650002,60.959999,35.919998,52.580002,53.459999,71.190002,24.02,59.389999,20.370001,25.209999,55.599998,52.490002,61.07,74.32,82.849998,48.279999,18.809999,45.470001,24.55863
