,CTL,FTR,LVLT,T,VZ
251,24.43,47.249977,54.27,36.610001,46.709999
252,24.5,48.599976,54.290001,36.16,46.509998
253,24.700001,49.499977,54.919998,36.919998,47.490002
254,24.65,51.899975,55.029999,37.299999,47.950001
255,24.450001,50.849976,54.970001,37.450001,47.849998
256,24.940001,52.049973,55.939999,37.669998,48.060001
257,25.82,53.099972,57.25,37.990002,48.48
258,24.68,53.249973,56.459999,38.419998,49.299999
259,24.58,54.449974,56.560001,38.77,50.220001
260,24.66,55.049973,56.740002,39.18,50.470001
261,24.65,56.099972,56.560001,39.580002,51.029999
262,24.25,55.049973,56.169998,39.209999,50.549999
263,23.540001,54.449974,55.299999,38.630001,49.799999
264,23.76,52.949974,55.310001,38.84,50.0
265,23.879999,52.649975,56.18,38.700001,49.740002
266,24.23,51.899975,56.259998,38.779999,50.150002
267,24.18,52.949974,56.16,39.490002,50.720001
268,24.34,54.749973,56.950001,40.25,51.23
269,24.129999,55.349972,56.32,40.279999,51.09
270,24.25,55.199974,56.25,40.560001,51.540001
271,24.139999,50.849976,56.509998,41.27,52.080002
272,24.4,51.749973,57.150002,41.299999,52.459999
273,23.85,51.299973,56.41,40.900002,51.369999
274,24.02,52.499973,56.439999,41.650002,52.060001
275,24.219999,52.949974,56.830002,41.669998,52.48
276,24.16,53.549973,56.619999,42.169998,52.93
277,24.1,52.049973,56.689999,42.419998,53.09
278,23.809999,49.799976,56.060001,42.240002,52.849998
279,23.85,49.799976,56.470001,42.790001,53.650002
280,24.040001,51.299973,56.810001,42.73,53.689999
281,24.17,51.299973,56.959999,42.650002,53.630001
282,24.030001,49.049976,57.040001,42.529999,53.59
283,24.02,50.699974,56.919998,42.759998,53.549999
284,24.35,50.999973,57.09,42.689999,53.959999
285,25.49,53.999973,58.900002,42.939999,54.549999
286,25.52,55.349972,59.119999,42.849998,54.779999
287,25.49,56.249973,58.860001,41.98,53.669998
288,25.43,56.399971,58.66,41.290001,53.220001
289,25.35,55.349972,58.740002,40.66,52.689999
