,AAL,ALK,ALLE,AME,ARNC,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DNB,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLR,FLS,FTV,GD,GE,GWW,HON,IR,ITW,JBHT,JCI,JEC,KSU,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,R,RHI,ROK,ROP,RSG,RTN,SRCL,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
41,39.040001,67.660004,60.419998,46.939999,15.607184,203.100006,125.800003,59.52,61.93,84.110001,85.610001,22.25,83.720001,43.880001,72.0,93.519997,53.740002,100.68,42.700001,47.009998,40.950001,35.110001000000004,46.389999,128.059998,40.689999,36.049999,,125.830002,28.139999,185.25,95.799393,50.619999,80.769997,64.019997,30.900524,37.130001,66.300003,110.610001,211.990005,39.290001,24.41,138.300003,44.27,181.0,70.230003,45.23,87.989998,44.27,17.5,48.630001,41.990002,89.900002,167.970001,43.48,118.489998,113.550003,221.899994,36.919998,46.419998,72.839996,89.57,55.560001,86.989998,70.529999,51.919998,32.73
42,39.59,69.41999799999999,60.049999,48.459999,15.69714,204.839996,127.059998,60.259998,64.480003,85.449997,86.349998,23.120001,84.68,45.799999,73.57,96.470001,53.5,103.940002,43.610001,48.599998,42.75,38.049999,47.779999,129.21000700000002,42.34,36.060001,,126.900002,28.719999,190.410004,97.898201,52.369999,81.940002,66.029999,32.272251000000004,38.0,68.629997,112.970001,216.690002,40.669998,25.07,140.100006,45.139999,186.369995,72.260002,45.759998,89.43,45.330002,18.32,49.91,42.98,92.629997,171.979996,43.779999,121.07,116.480003,219.960007,37.880001,46.509998,74.989998,90.839996,56.02,86.349998,72.709999,51.990002,33.470001
43,38.529999,66.730003,57.549999,46.41,14.640169,203.149994,124.0,58.080002,62.77,81.889999,84.639999,22.290001,82.269997,46.09,71.370003,94.480003,52.5,102.199997,42.310001,47.23,42.34,36.349998,46.759998,124.5,40.490002,34.610001000000004,,125.400002,27.93,185.110001,94.983734,49.939999,80.279999,64.370003,30.942408,35.869999,64.599998,108.349998,213.050003,39.130001,24.280001,136.949997,44.41,183.839996,70.720001,44.279999,86.410004,43.259998,17.309998999999998,46.959999,41.720001,89.470001,167.03999299999995,43.200001,119.93,114.160004,218.220001,36.34,44.77,72.68,89.059998,52.380001,84.440002,70.760002,51.959999,32.439999
44,38.93,68.610001,57.439999,46.52,15.15741,202.190002,122.769997,59.0,64.300003,84.58000200000002,85.33000200000002,22.0,82.629997,46.650002,71.989998,97.389999,52.509998,102.0,42.349998,47.57,43.330002,36.669998,47.610001,123.260002,41.18,35.389999,,124.379997,28.129999,183.100006,96.306686,49.080002,81.83000200000002,67.989998,31.193718,36.869999,63.48,108.370003,211.199997,39.990002,24.32,136.96000700000002,43.970001,183.470001,70.949997,45.529999,86.660004,43.220001,17.66,48.310001,42.349998,90.589996,167.690002,42.82,118.889999,115.779999,218.25999500000003,36.490002,45.110001,69.5,88.809998,54.400002,84.83000200000002,71.32,51.900002,32.970001
45,40.0,74.379997,58.150002,47.25,16.394291,199.820007,124.419998,61.23,65.089996,87.41999799999998,82.779999,22.92,81.360001,47.09,74.190002,96.68,54.099998,103.870003,43.889999,48.869999,43.889999,37.73,48.41,126.199997,42.439999,36.75,,125.5,28.549999,187.809998,97.61969,49.41,82.760002,67.68,31.801046000000003,37.41,70.279999,109.889999,213.710007,40.0,25.549999,140.139999,44.650002,183.229996,71.279999,46.68,89.629997,44.259998,18.030001,50.43,42.57,91.449997,171.279999,42.66,118.699997,115.949997,219.160004,37.0,45.93,71.339996,90.269997,57.139999,86.949997,71.559998,52.529999,33.790001000000004
46,40.02,73.029999,59.689999,46.790001,15.314831,198.75,124.599998,58.959999,62.75,85.0,84.339996,22.35,82.269997,47.59,73.800003,96.650002,53.18,104.629997,42.990002,48.23,43.32,37.82,48.09,127.0,42.549999,36.799999,,126.010002,28.32,187.179993,97.062653,50.049999,84.050003,68.690002,34.408379,37.119999,67.129997,111.559998,211.839996,39.349998,25.690001,138.96000700000002,45.360001,184.089996,68.639999,46.41,88.849998,43.990002,17.790001,50.369999,43.380001,91.459999,168.279999,42.959999,118.690002,117.809998,223.089996,37.400002,46.91,69.660004,89.970001,56.68,85.980003,70.779999,52.919998,33.91
47,38.73,70.150002,59.040001,46.240002,15.494741,194.440002,124.980003,58.400002,63.099998,84.470001,81.949997,22.15,82.019997,46.490002,72.019997,95.300003,53.709999,104.309998,42.68,48.27,43.18,37.299999,47.16,126.370003,42.939999,36.630001,,124.290001,28.07,196.710007,96.237053,49.209999,82.08000200000002,68.900002,35.204189,36.889999,65.849998,110.169998,201.429993,38.240002,25.360001,141.78999299999995,44.799999,181.470001,68.0,46.119999,93.389999,44.099998,17.92,49.360001,42.919998,91.419998,166.949997,42.48,118.040001,116.93,220.880005,36.98,46.830002,69.339996,89.91999799999998,55.25,85.290001,70.190002,52.189999,33.990002000000004
48,40.150002,71.459999,59.68,46.529999,15.877062,193.619995,119.900002,58.43,64.0,85.300003,81.0,22.299999,82.91999799999998,46.360001,73.599998,97.099998,55.77,104.709999,43.110001,48.990002,44.110001,37.630001,47.490002,130.149994,43.52,37.310001,,124.110001,28.200001,186.770004,97.251816,50.360001,87.5,71.480003,35.539268,37.400002,67.639999,110.989998,209.889999,38.619999,25.57,144.949997,45.650002,181.429993,68.099998,47.650002,91.5,44.689999,17.870001000000006,52.34,43.75,92.07,169.270004,42.59,118.790001,118.169998,223.820007,33.82,47.700001,70.0,91.010002,56.400002,85.699997,71.239998,52.130001,34.540001000000004
49,39.610001,69.83000200000001,60.060001,46.77,16.124437,196.100006,117.099998,62.009998,63.549999,86.510002,80.309998,22.27,83.400002,44.84,74.699997,96.82,56.610001,103.559998,44.110001,50.299999,44.16,38.119999,47.389999,128.729996,43.599998,37.779999,,128.850006,28.219999,185.860001,97.401024,50.970001,87.110001,70.389999,35.612564,37.889999,68.220001,112.5,208.490005,37.48,25.91,146.160004,46.41,176.399994,69.91999799999999,47.689999,92.669998,46.099998,18.030001,52.139999,43.630001,93.860001,170.089996,42.419998,119.349998,118.010002,221.729996,32.82,47.970001,69.849998,90.970001,49.900002,86.300003,71.150002,52.0,35.23
50,37.52,68.129997,59.529999,46.490002,15.69714,190.100006,118.139999,61.689999,63.259998,87.040001,81.690002,22.549999,83.57,43.139999,75.379997,96.139999,56.880001,102.760002,44.77,48.599998,44.790001,39.48,47.099998,128.800003,43.619999,37.740002,,129.149994,28.459999,193.080002,100.454575,50.450001,89.260002,70.25,35.905758,37.82,69.639999,112.839996,207.830002,36.169998,25.67,148.240005,47.279999,181.429993,70.800003,45.240002,94.57,45.709999,18.059999,51.16,43.349998,93.550003,170.300003,43.0,122.470001,117.190002,220.970001,33.599998,45.310001,70.5,91.629997,45.009998,86.870003,71.629997,52.310001,35.139999
