,APA,APC,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,MUR,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RIG,RRC,SLB,SWN,VLO,WMB,XEC,XOM
67,36.950001,34.400002,2.44,18.92,32.099998,83.33000200000002,90.25,18.459999,67.230003,54.52,23.790001,31.35,40.650002,49.939999,16.959999,31.15,6.75,15.66,28.860001,22.66,27.940001,20.700001,67.595085,77.519997,117.669998,7.88,22.09,70.889999,6.39,56.91,15.29,84.040001,79.910004
68,37.93,37.16,2.64,19.709999,33.07,85.66999799999998,88.5,19.450001,69.190002,56.68,24.459999,32.43,41.66,51.529999,17.459999,33.880001,7.25,16.98,29.709999,23.190001,28.35,21.32,69.550003,79.25,119.449997,8.11,23.24,71.93,6.54,60.880001,15.75,84.360001,81.559998
69,39.09,38.689999,2.89,20.129999,33.860001000000004,86.970001,93.0,20.370001,68.0,57.0,24.360001,33.139999,42.689999,53.150002,18.120001,34.709999,7.75,16.959999,31.049999,25.83,28.370001,21.98,71.230003,79.519997,123.540001,8.31,24.040001,73.120003,5.8,61.330002,16.35,86.510002,82.889999
70,39.490002,38.07,2.82,20.35,34.57,84.940002,92.209999,20.42,67.41999799999999,57.310001,24.540001,32.389999,43.049999,53.189999,17.98,34.330002,8.49,17.219998999999998,29.799999,26.780001,29.1,23.110001,70.309998,79.400002,123.870003,8.75,24.08,72.349998,6.22,60.23,15.75,86.230003,81.879997
71,38.470001,39.16,2.64,20.389999,34.07,84.120003,90.580002,19.99,65.099998,56.57,24.82,32.57,43.790001,53.939999,18.280001,34.23,8.21,17.23,29.67,27.459999,29.639999,24.23,69.25,80.010002,121.57,8.77,23.48,72.459999,5.91,60.169998,16.139999,84.75,80.559998
72,38.330002,39.84,2.62,20.860001,34.279999,85.400002,90.919998,19.059999,64.949997,57.150002,25.24,32.779999,44.09,53.990002,18.049999,34.59,7.94,16.969998999999998,29.129999,28.200001,29.370001,24.0,70.08000200000001,83.150002,127.360001,8.83,25.27,73.470001,5.59,61.580002,16.59,85.690002,80.949997
73,41.75,42.240002,3.37,21.889999,36.5,87.0,95.779999,21.389999,66.949997,58.84,25.719999,33.509998,46.599998,57.169998,18.58,36.130001,9.03,19.309999,30.889999,29.25,30.620001,25.33,71.589996,84.940002,130.990005,9.6,28.4,74.040001,5.99,62.990002,17.08,89.010002,82.660004
74,45.630001,43.439999,4.59,22.52,38.919998,87.41999799999998,98.059998,22.51,69.910004,59.889999,26.540001,34.43,49.169998,59.43,19.08,37.959999,10.36,21.74,32.330002,29.67,31.98,26.950001,70.699997,86.5,130.0,10.9,31.58,75.110001,7.56,64.5,18.629999,89.099998,82.660004
75,48.029999,44.98,5.38,21.440001,41.25,87.940002,98.099998,23.299999,71.120003,56.380001,25.6,34.689999,48.509998,61.009998,18.58,37.080002,11.12,23.76,32.380001,30.16,32.279999,26.370001,70.07,85.379997,128.160004,12.47,32.209999,74.309998,7.97,63.150002,19.32,90.480003,82.309998
76,50.32,44.549999,5.05,22.02,41.200001,90.379997,99.57,23.91,74.650002,60.860001,26.389999,35.32,48.84,62.27,18.629999,37.07,10.84,26.280001,32.150002,29.49,34.610001000000004,27.43,69.120003,86.889999,129.440002,12.66,33.48,75.260002,8.36,62.779999,18.889999,94.190002,84.0
