,AIV,AMT,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCN,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SLG,SPG,UDR,VNO,VTR,WY
176,44.560001,116.260002,182.279999,139.169998,28.6,96.650002,105.050003,380.0,66.849998,221.470001,85.839996,168.660004,31.700001,78.510002,35.564663,17.25,41.150002,31.73,103.68,88.940002,70.849998,53.529999,238.50999500000003,83.220001,116.370003,223.929993,36.57,85.2789,75.089996,32.240002000000004
177,45.720001,115.870003,185.410004,142.130005,28.5,96.910004,104.690002,373.929993,67.989998,233.740005,86.0,169.949997,31.93,79.32,35.728596,17.65,41.23,32.07,106.019997,91.870003,71.489998,54.610001,238.77999900000003,85.0,117.800003,226.860001,37.380001,86.596603,75.849998,32.720001
178,45.82,116.470001,186.300003,139.339996,28.540001,97.470001,106.099998,379.220001,68.220001,233.699997,86.529999,169.410004,31.860001,79.07,35.828781,17.889999,40.889999,32.040001000000004,105.639999,89.32,71.739998,54.25,237.610001,84.75,117.18,226.580002,37.43,85.311234,76.07,32.740002000000004
179,45.240002,116.760002,184.429993,140.559998,28.309999,96.75,104.199997,372.23999,66.800003,231.860001,85.019997,167.770004,31.24,77.550003,35.51912700000001,17.440001000000002,40.5,31.629999,104.400002,87.730003,69.93,54.310001,234.630005,84.209999,116.199997,222.199997,37.07,84.971703,74.349998,32.349998
180,45.049999,115.989998,183.130005,140.690002,28.82,96.18,102.580002,372.859985,66.040001,230.929993,82.589996,166.929993,31.08,77.459999,35.0,17.540001,40.209999,31.5,103.559998,86.489998,69.339996,54.169998,233.559998,83.410004,116.099998,222.550003,37.029999,84.88278199999998,73.800003,32.330002
181,44.959999,116.57,181.600006,141.21000700000005,29.02,97.129997,103.18,371.950012,66.57,229.809998,82.25,166.800003,31.030001,76.949997,35.063751,17.5,38.07,31.290001,102.910004,86.019997,69.540001,54.040001,230.789993,83.290001,117.589996,220.119995,36.82,84.179466,73.889999,32.5
182,45.380001,116.540001,183.0,142.0,29.75,96.230003,100.839996,364.899994,67.32,230.990005,82.25,164.429993,31.08,76.5,35.009106,17.91,37.790001,31.15,103.32,86.129997,68.459999,53.84,232.5,82.730003,117.849998,219.690002,36.889999,84.890862,72.699997,32.740002000000004
183,45.880001,115.779999,185.539993,142.179993,29.82,96.010002,100.43,364.149994,68.300003,233.50999500000003,82.220001,162.610001,30.959999,76.940002,35.054646000000005,18.25,36.84,31.16,103.370003,86.260002,68.519997,53.740002,230.220001,82.339996,117.610001,220.0,37.529999,83.524658,72.699997,32.330002
184,46.049999,116.330002,186.350006,143.619995,29.91,95.800003,101.769997,367.51001,68.57,233.970001,83.209999,163.0,31.02,78.480003,35.59198400000001,18.24,36.860001,31.25,103.260002,86.860001,69.029999,54.389999,231.479996,82.949997,118.190002,219.880005,37.52,85.650764,73.910004,32.330002
185,45.48,116.220001,183.899994,143.470001,29.950001,96.260002,101.669998,367.51001,67.33000200000001,232.619995,84.0,162.320007,30.5,78.860001,35.965393,18.25,36.77,31.1,103.169998,85.300003,69.209999,54.389999,231.289993,83.019997,118.309998,219.039993,37.169998,85.20614599999998,74.360001,32.869999
