,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BK,BLK,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,GS,HBAN,HIG,HRB,ICE,IVZ,JPM,KEY,L,LNC,LUK,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RF,SCHW,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,XL,ZION
152,68.68,52.07,82.779999,45.880001,65.58000200000001,148.220001,94.629997,104.389999,60.48,13.05,35.189999,32.240002000000004,39.380001,337.130005,40.630001,124.190002,63.950001,20.469999,69.25,40.98,95.0,62.549999,51.540001,23.9,17.9,143.029999,8.95,42.639999,22.049999,49.563999,27.450001,60.48,11.28,39.130001,41.060001,16.91,96.839996,36.729053,65.57,25.07,112.769997,11.69,62.16,68.43,15.23,41.439999,31.450001,82.099998,71.779999,8.89,27.34,106.260002,40.380001,56.009998,24.950001,59.32,70.019997,109.309998,33.139999,40.220001,45.759998,121.0,31.940001,26.35
153,68.449997,49.93,82.279999,44.75,65.739998,137.130005,88.660004,102.57,59.34,12.77,33.98,31.639999,37.220001,326.480011,39.580002,122.75,64.239998,19.559999,69.82,39.299999,96.129997,60.84,51.0,22.700001,17.200001,140.070007,8.49,41.73,22.0,49.056000000000004,24.969999,58.709999,10.92,38.830002,37.529999,15.93,93.660004,34.759357,64.129997,24.049999,110.779999,11.5,62.360001,64.730003,14.42,39.099998,31.34,79.769997,69.290001,8.37,25.4,102.940002,39.860001,53.900002,24.299999,58.700001,68.66999799999999,110.470001,31.5,39.23,45.200001,114.660004,30.9,24.92
154,68.32,49.849998,81.900002,44.490002,66.650002,135.699997,87.07,101.849998,58.25,12.57,33.580002,31.030001,36.52,324.329987,39.810001,122.889999,63.790001,18.91,69.83000200000001,37.959999,93.199997,59.25,51.369999,22.299999,16.469998999999998,142.21000700000005,8.29,41.700001,22.01,48.824001,23.77,59.189999,10.54,38.709999,36.470001,15.96,89.269997,33.422459,64.139999,24.26,110.660004,11.22,61.75,62.84,14.02,39.0,31.5,79.269997,69.019997,8.14,24.59,100.5,38.639999,51.799999,23.709999,58.450001,68.43,111.870003,30.639999,39.09,45.889999,113.809998,31.07,24.120001
155,69.220001,50.419998,84.08000200000002,45.66,67.989998,139.910004,86.849998,104.720001,57.950001,13.07,34.25,31.42,37.23,329.0,41.139999,126.190002,64.370003,19.25,71.93,38.84,94.589996,60.57,51.57,22.620001,16.76,143.600006,8.46,42.580002,22.65,50.028,24.440001,60.360001,10.8,39.459999,36.889999,16.440001000000002,90.0,34.010696,66.209999,24.940001,112.849998,11.59,63.189999,64.360001,14.4,39.139999,32.16,79.900002,69.16999799999999,8.25,25.1,102.800003,39.669998,51.73,24.17,59.279999,70.25,114.879997,30.75,39.59,46.630001,118.339996,31.940001,24.41
156,70.190002,51.900002,84.779999,46.580002,68.540001,140.080002,89.040001,106.949997,59.869999,13.37,34.990002000000004,32.509998,38.450001,337.959991,42.68,127.900002,65.860001,19.77,72.989998,40.330002,96.550003,62.419998,52.84,23.059999,17.280001000000002,146.669998,8.56,43.310001,22.889999,50.602001,25.0,61.630001,11.03,39.959999,38.09,16.719998999999998,91.940002,35.13369,67.059998,25.34,115.209999,11.78,64.41999799999999,64.739998,14.52,40.459999,32.68,81.040001,70.41999799999998,8.49,25.360001,106.029999,40.41,52.59,24.98,60.380001,71.400002,116.910004,31.290001,39.970001,47.240002,121.360001,32.25,25.290001
157,72.190002,52.650002,86.519997,47.599998,69.949997,140.440002,89.629997,109.290001,60.759998,13.19,35.61000100000001,33.369999,38.599998,342.0299990000001,42.299999,131.0,66.769997,19.879999,74.93,40.619999,97.010002,63.48,53.540001,23.34,17.440001000000002,148.490005,8.89,44.16,23.0,50.984001,25.48,61.66,10.97,41.110001,37.639999,17.34,93.5,35.258469,68.440002,25.77,117.650002,11.94,64.709999,65.760002,14.6,40.810001,33.48,81.029999,70.110001,8.44,25.200001,107.110001,40.73,53.580002,25.24,61.619999,72.910004,118.959999,31.57,40.150002,47.080002,124.480003,33.259998,24.93
158,71.940002,52.369999,87.620003,47.450001,69.290001,136.880005,88.82,109.129997,60.220001,12.93,34.900002,32.599998,37.650002,338.660004,41.380001,129.330002,66.0,19.309999,74.529999,40.07,96.330002,62.139999,53.299999,22.780001,17.02,146.720001,8.71,43.810001,23.290001,50.21200200000001,24.940001,60.450001,10.93,40.529999,37.900002,17.309998999999998,93.43,34.572193,67.779999,25.5,115.75,12.17,63.720001,64.58000200000001,14.46,40.48,32.970001,80.029999,69.709999,8.24,24.77,107.110001,40.150002,53.150002,25.379999,60.990002,71.699997,118.25,31.17,39.669998,46.700001,120.190002,32.84,24.469999
159,71.269997,50.939999,85.199997,47.16,69.120003,132.770004,86.150002,107.639999,58.75,12.52,33.91,31.889999,36.779999,332.5,40.150002,128.550003,67.410004,18.65,74.309998,38.68,97.949997,60.25,51.889999,22.129999,16.4,142.940002,8.42,42.790001,23.0,50.63600200000001,24.51,59.009998,10.55,39.779999,36.610001,16.709999,92.25,33.5205,67.190002,24.73,112.089996,11.71,64.639999,62.77,14.35,39.049999,32.970001,78.349998,68.129997,7.95,24.120001,105.150002,39.07,52.049999,24.85,60.07,71.349998,118.379997,30.09,38.73,45.889999,123.32,32.029999,23.290001
160,72.150002,51.549999,85.43,47.990002,69.449997,132.71000700000002,87.5,108.099998,59.48,12.87,34.459999,32.5,37.290001,335.0,41.330002,129.220001,66.760002,18.99,75.519997,39.900002,98.139999,61.200001,52.810001,22.59,17.01,146.0,8.51,42.700001,23.4,50.967999,24.969999,60.52,10.81,40.18,37.549999,17.27,93.330002,34.224598,67.050003,25.27,115.860001,11.8,64.849998,62.959999,14.54,40.119999,33.110001000000004,79.779999,69.16999799999999,8.18,24.82,106.68,40.189999,52.119999,25.35,60.57,71.730003,118.699997,30.4,39.16,46.580002,124.279999,32.540001000000004,24.5
161,72.260002,52.580002,85.470001,48.27,69.68,137.419998,89.839996,109.540001,60.68,13.28,35.330002,32.939999,38.110001,341.579987,41.799999,130.110001,67.470001,19.790001,75.519997,41.400002,98.650002,63.549999,54.049999,23.469999,17.27,149.360001,8.71,43.139999,23.620001,50.849998,25.709999,61.330002,11.17,40.650002,38.380001,17.459999,95.470001,34.634583,67.209999,26.17,115.959999,12.35,65.41999799999999,64.489998,14.82,40.98,33.439999,80.58000200000002,70.25,8.39,25.889999,108.949997,41.490002,52.970001,27.290001,61.220001,72.709999,118.400002,31.030001,39.84,47.450001,126.040001,33.02,24.82
