,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
270,50.57,60.98,11.88,72.5,40.93,24.379999,74.349998,97.099998,75.650002,71.370003,69.660004,53.540001,70.540001,34.66,30.57,36.669998,116.089996,21.639999,12.93,59.07,42.580002,75.769997,33.43,72.199997,47.830002,100.309998,56.990002,39.720001
271,51.369999,62.009998,12.09,73.699997,41.810001,24.639999,75.68,98.489998,76.66999799999998,72.870003,70.720001,54.279999,71.870003,34.66,31.139999,37.349998,117.510002,22.0,12.69,60.099998,43.029999,77.33000200000002,33.98,73.360001,48.82,103.419998,57.900002,40.529999
272,52.029999,63.02,12.27,74.540001,41.759998,24.719999,76.190002,99.489998,77.599998,73.440002,71.620003,54.32,73.16999799999998,35.599998,31.74,37.650002,119.690002,22.360001,12.78,60.880001,43.549999,78.57,34.41,74.459999,49.360001,104.080002,58.650002,40.880001
273,50.580002,61.32,11.88,71.889999,40.689999,24.129999,74.239998,96.129997,75.339996,71.150002,69.25,52.939999,71.440002,34.889999,31.17,36.48,115.980003,21.620001,12.42,59.459999,42.509998,75.589996,33.560001,72.309998,48.029999,100.269997,56.639999,39.869999
274,51.130001,62.259998,11.81,72.449997,40.93,24.17,74.639999,96.650002,76.199997,71.790001,70.300003,53.73,72.230003,35.759998,31.299999,37.07,117.239998,22.01,12.33,60.150002,43.080002,76.010002,34.209999,73.110001,48.5,100.82,57.490002,40.240002
275,51.939999,63.110001,11.84,73.089996,41.810001,24.48,76.370003,98.580002,77.099998,73.029999,71.779999,54.939999,73.5,35.86000100000001,31.92,37.880001,119.5,22.129999,12.34,61.43,44.200001,77.07,34.77,74.43,49.049999,102.959999,58.380001,40.830002
276,51.919998,62.959999,11.83,73.510002,41.860001,24.5,76.440002,98.269997,76.709999,73.019997,71.599998,55.610001,73.010002,35.669998,31.5,37.630001,119.239998,22.299999,12.85,60.740002,43.939999,76.800003,34.57,74.160004,49.09,103.260002,58.029999,40.779999
277,52.169998,63.049999,11.94,73.360001,41.720001,24.68,76.639999,98.489998,77.230003,73.440002,71.959999,55.18,73.239998,35.509998,31.33,37.810001,119.089996,22.23,12.55,61.07,43.799999,77.0,34.459999,74.32,49.259998,103.010002,58.369999,40.970001
278,51.970001,62.799999,11.9,72.83000200000002,41.57,24.67,76.360001,98.279999,76.959999,73.110001,71.709999,54.889999,72.860001,35.299999,31.370001,37.650002,118.639999,22.370001,12.34,61.07,43.599998,77.059998,34.400002,74.16999799999998,49.150002,102.129997,58.380001,40.529999
279,52.5,63.529999,11.83,72.660004,41.759998,24.84,76.68,98.830002,77.769997,73.650002,72.160004,55.560001,73.16999799999998,35.400002,31.33,37.849998,118.889999,22.450001,12.21,61.389999,43.720001,77.650002,34.509998,74.75,49.360001,102.199997,58.82,40.790001
280,52.43,62.970001,11.74,72.75,41.630001,24.77,76.610001,98.559998,77.489998,73.510002,71.589996,55.48,72.790001,35.24000200000001,31.16,37.759998,119.080002,22.23,12.3,60.860001,43.68,77.599998,34.290001000000004,74.599998,49.32,100.779999,58.720001,40.57
281,52.580002,63.09,11.88,73.120003,41.740002,24.77,76.730003,98.779999,77.540001,73.720001,71.5,55.400002,73.059998,35.459999,31.309999,37.990002,119.32,22.24,12.66,60.73,43.779999,77.860001,34.279999,74.610001,49.360001,101.43,58.560001,40.720001
282,52.27,62.68,11.75,71.980003,41.48,24.52,76.529999,98.160004,77.110001,73.160004,71.379997,54.849998,72.370003,35.330002,30.84,37.66,119.230003,22.049999,12.43,60.25,43.57,77.300003,33.990002000000004,73.089996,49.189999,100.43,58.189999,40.439999
283,52.490002,63.32,11.73,72.660004,41.759998,24.799999,77.040001,99.040001,78.050003,74.08000200000002,72.349998,55.599998,73.650002,35.75,31.17,38.209999,120.209999,22.26,12.45,61.119999,44.119999,78.260002,34.310001,73.760002,49.439999,100.949997,58.98,41.0
284,52.59,63.009998,11.67,72.370003,41.639999,24.719999,76.57,98.739998,77.650002,73.720001,71.760002,55.25,73.5,35.669998,30.969999,37.939999,119.540001,22.17,12.32,60.810001,44.009998,77.989998,34.049999,73.339996,49.150002,100.93,58.650002,40.740002
285,52.450001,62.91,11.54,72.489998,41.639999,24.700001,76.389999,98.339996,77.650002,73.720001,71.940002,55.169998,73.18,35.34,30.99,38.009998,119.230003,22.25,12.32,60.610001,43.529999,77.489998,34.049999,73.489998,49.02,101.389999,58.509998,40.709999
286,52.450001,63.029999,11.52,72.690002,41.740002,24.790001,75.790001,98.620003,77.900002,73.540001,72.480003,55.490002,73.16999799999998,35.5,30.940001,38.220001,119.779999,22.42,13.01,60.66,43.639999,77.949997,34.169998,73.25,49.049999,102.0,58.919998,40.869999
287,52.470001,62.900002,11.4,72.650002,41.75,24.799999,76.040001,98.349998,77.5,73.290001,71.82,54.84,72.739998,35.389999,30.709999,37.959999,118.410004,22.6,13.31,60.34,43.610001,78.129997,34.169998,72.25,48.959999,101.449997,58.75,40.639999
288,53.130001,62.959999,11.87,72.879997,42.200001,25.41,76.93,98.5,77.610001,74.099998,71.910004,55.310001,73.41999799999998,36.09,31.209999,37.860001,119.120003,22.530001,13.35,61.200001,44.209999,78.540001,34.540001000000004,72.050003,48.900002,102.93,58.900002,41.130001
289,52.049999,62.580002,11.54,71.209999,41.580002,24.860001,75.589996,97.93,76.489998,72.629997,71.08000200000002,54.490002,71.389999,35.419998,30.84,37.27,118.129997,22.049999,13.43,60.330002,43.360001,77.339996,34.150002,70.690002,48.599998,101.040001,58.040001,40.369999
290,51.900002,62.209999,11.33,70.660004,41.529999,24.92,75.440002,97.43,76.279999,72.629997,71.07,54.400002,71.459999,35.200001,30.33,37.330002,118.239998,21.950001,13.68,60.23,43.529999,76.91999799999998,33.959999,71.040001,48.279999,100.919998,57.950001,40.34
291,52.189999,62.959999,11.78,70.599998,41.939999,25.41,75.650002,98.410004,76.970001,73.010002,72.059998,54.91,71.58000200000002,35.419998,30.73,37.75,119.589996,22.09,14.05,60.82,44.0,77.629997,34.23,71.559998,48.799999,102.139999,58.700001,40.68
292,51.900002,63.099998,11.61,70.620003,41.82,25.27,75.07,98.32,77.339996,73.440002,72.239998,55.169998,71.870003,35.389999,30.639999,37.580002,119.300003,21.959999,14.33,60.599998,43.950001,77.370003,34.41,71.93,48.830002,101.589996,58.529999,40.66
293,52.060001,63.450001,11.8,71.110001,42.02,25.48,75.57,98.550003,77.470001,73.889999,72.389999,55.459999,71.940002,35.549999,30.860001,37.619999,119.400002,22.040001,15.45,60.75,44.220001,77.83000200000002,34.220001,72.230003,48.950001,101.989998,59.049999,40.869999
294,52.389999,63.529999,11.94,72.010002,42.169998,25.440001,75.989998,99.010002,77.379997,74.279999,72.610001,55.689999,72.08000200000002,35.799999,31.08,37.700001,120.220001,22.33,15.39,61.5,44.25,77.959999,34.630001,72.370003,49.549999,103.5,59.220001,41.099998
295,52.169998,63.189999,11.89,71.809998,41.93,25.6,75.779999,98.349998,77.269997,73.949997,72.099998,55.25,71.779999,35.61000100000001,30.639999,37.490002,119.370003,22.43,15.17,60.98,43.959999,76.849998,34.310001,71.629997,49.279999,103.620003,58.880001,41.09
296,51.91,62.900002,11.75,71.82,42.200001,25.49,75.730003,98.470001,77.32,73.410004,71.870003,55.150002,71.220001,35.779999,30.35,37.43,119.480003,22.42,15.68,61.310001,43.810001,77.190002,34.290001000000004,71.160004,49.09,102.220001,58.549999,41.0
297,52.16,62.91,11.42,72.010002,42.389999,25.610001,75.910004,98.57,77.43,73.269997,72.08000200000002,55.169998,71.33000200000002,35.849998,30.15,37.369999,119.529999,22.540001,16.209999,61.5,43.77,77.199997,34.470001,71.139999,49.209999,102.620003,58.709999,41.169998
298,51.91,62.639999,11.25,71.769997,42.189999,25.51,75.529999,97.779999,77.199997,72.82,71.720001,54.700001,70.760002,35.27,29.67,36.82,118.739998,22.200001,16.32,60.93,43.27,77.349998,34.360001000000004,69.82,48.830002,102.099998,58.389999,40.77
299,51.84,62.639999,11.37,71.440002,41.869999,25.559999,75.459999,97.540001,76.93,72.519997,71.75,54.369999,70.239998,35.34,29.540001,36.869999,118.239998,22.190001,16.389999,60.599998,43.330002,77.150002,34.490002000000004,69.510002,48.470001,102.650002,58.209999,40.619999
300,51.919998,62.5,11.41,71.66999799999998,41.720001,25.969999,75.720001,97.919998,76.989998,72.510002,71.800003,54.299999,70.709999,35.400002,29.780001,36.880001,118.699997,22.209999,16.459999,60.790001,43.389999,77.07,34.5,69.300003,48.450001,102.389999,58.060001,40.75
301,52.240002,62.779999,11.3,72.300003,42.09,26.0,75.690002,98.349998,77.32,73.290001,72.33000200000002,54.709999,70.809998,35.439999,29.889999,36.84,119.959999,22.280001,16.41,60.959999,43.41,77.059998,34.5,68.970001,48.740002,102.580002,58.5,41.009998
302,52.009998,63.110001,11.29,71.91999799999998,42.040001,26.059999,75.779999,97.440002,76.980003,73.339996,72.290001,54.400002,70.879997,35.139999,30.139999,37.07,121.669998,22.1,16.4,60.84,43.139999,76.230003,34.34,68.800003,48.619999,101.779999,58.490002,40.84
303,51.720001,63.150002,11.26,71.949997,42.169998,25.870001,75.309998,97.379997,77.120003,73.440002,72.059998,54.419998,70.610001,35.040001000000004,29.83,36.880001,122.440002,21.82,16.18,60.740002,43.32,76.5,34.400002,68.239998,48.740002,100.93,58.419998,40.860001
304,52.240002,63.580002,11.4,72.910004,42.0,26.09,74.360001,98.199997,78.139999,73.82,72.349998,54.91,71.160004,35.66,30.09,37.369999,122.720001,22.16,16.49,61.389999,44.029999,76.980003,34.66,68.220001,49.119999,101.589996,58.279999,40.98
305,51.860001,63.110001,11.27,71.910004,41.860001,25.91,71.870003,98.150002,77.57,73.470001,71.769997,54.77,70.790001,35.439999,29.9,36.990002,122.959999,21.950001,16.280001000000002,61.18,43.360001,76.730003,35.09,68.41999799999999,48.580002,101.589996,56.919998,40.700001
306,52.779999,63.779999,11.38,72.690002,42.970001,26.25,71.720001,99.129997,77.889999,74.5,72.0,55.610001,71.629997,35.779999,29.67,37.529999,123.900002,22.24,16.74,61.84,43.619999,78.010002,35.330002,69.389999,49.02,102.970001,57.450001,41.459999
307,52.869999,64.25,11.39,72.540001,42.799999,26.389999,72.050003,98.900002,77.889999,74.550003,72.83000200000002,55.91,71.989998,35.889999,29.98,37.990002,124.400002,22.35,17.120001000000002,61.66,43.82,78.25,35.560001,69.900002,48.970001,103.0,57.900002,41.529999
308,52.740002,63.82,11.3,72.050003,42.490002,26.110001,72.260002,98.440002,77.650002,74.309998,72.730003,55.66,71.010002,35.84,29.92,37.720001,124.07,22.26,16.639999,61.720001,43.459999,77.870003,35.34,69.610001,48.860001,102.650002,57.66,41.490002
309,52.810001,63.32,11.43,72.230003,42.610001,26.1,72.559998,98.629997,77.82,74.620003,73.699997,55.66,70.75,35.25,30.030001,37.889999,124.239998,22.040001,16.200001,62.509998,43.5,78.0,35.310001,69.610001,48.849998,102.5,57.990002,41.720001
310,53.060001,63.799999,11.56,72.93,42.84,26.379999,73.260002,98.050003,78.639999,75.129997,74.83000200000002,56.349998,71.400002,35.23,30.040001,38.060001,126.300003,22.18,16.23,63.169998,43.540001,78.57,35.650002,70.110001,49.220001,104.279999,58.310001,41.950001
311,52.720001,63.349998,11.47,72.870003,42.639999,26.459999,72.150002,96.830002,77.589996,74.290001,74.239998,55.889999,70.900002,34.75,29.860001,37.650002,124.5,22.15,16.5,62.549999,43.060001,77.779999,35.349998,69.059998,48.810001,103.349998,57.18,41.619999
312,52.93,63.970001,11.64,73.379997,42.970001,26.48,73.410004,97.389999,78.260002,74.290001,75.199997,56.34,71.66999799999998,34.77,30.52,37.889999,125.5,22.42,16.6,63.27,43.43,78.650002,35.54000100000001,69.160004,49.060001,104.389999,57.630001,41.98
