,ALB,APD,AVY,BLL,CF,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PPG,PX,SEE,SHW,VMC,WRK
126,75.83000200000002,131.359848,75.16999799999998,35.705002,29.07,116.650002,74.5,11.23,46.82,127.0,41.080002,83.150002,185.0,97.699997,25.950001,34.959999,46.259998,106.93,111.889999,46.84,291.880005,115.199997,38.009998
127,75.690002,131.119339,74.33000200000002,35.52,28.629999,115.860001,73.059998,10.33,45.400002,126.5,40.200001,81.57,184.559998,102.389999,25.219999,32.529999,45.450001,106.0,110.639999,46.689999,291.040009,114.629997,37.439999
128,76.41999799999998,131.85939,73.970001,35.884998,28.799999,116.809998,73.620003,11.13,46.110001,128.639999,40.5,80.699997,186.330002,99.949997,25.780001,34.380001,46.880001,106.379997,110.790001,46.900002,290.0,114.650002,37.049999
129,75.860001,131.119339,73.339996,35.764999,30.059999,116.760002,73.150002,10.8,46.5,127.790001,40.529999,80.120003,187.350006,108.440002,25.799999,33.060001,46.23,106.190002,110.080002,46.82,290.670013,115.800003,37.830002
130,76.889999,131.285843,73.879997,35.764999,29.51,117.150002,73.360001,11.41,47.849998,128.149994,41.240002,80.389999,189.199997,106.800003,26.51,33.07,47.099998,106.57,110.970001,46.349998,290.769989,118.470001,38.23
131,76.900002,133.061981,74.989998,35.950001,28.0,118.980003,73.620003,11.39,47.529999,128.309998,41.18,81.209999,192.009995,111.419998,26.139999,31.58,47.380001,108.260002,111.269997,46.959999,293.019989,119.309998,39.029999
132,79.269997,133.209991,74.949997,36.115002,29.959999,118.849998,74.620003,11.91,48.580002,129.050003,42.110001,82.989998,192.889999,111.900002,26.68,32.790001000000004,49.23,108.349998,111.809998,46.970001,291.170013,120.07,39.639999
133,79.0,132.386673,74.0,35.744999,28.9,118.199997,73.629997,11.35,47.790001,128.919998,41.919998,81.120003,190.850006,109.589996,26.17,32.240002000000004,48.419998,107.959999,110.57,46.48,288.880005,119.199997,39.310001
134,80.0,132.913971,74.75,35.919998,27.700001,118.620003,73.730003,11.06,48.189999,129.21000700000002,42.299999,81.870003,192.910004,110.559998,25.469999,31.83,48.610001,108.650002,110.870003,47.040001,292.230011,118.150002,40.080002
135,78.5,131.507858,73.82,36.150002,27.66,117.059998,73.010002,11.08,47.490002,129.0,41.950001,80.699997,189.039993,112.239998,25.0,32.52,48.07,107.68,109.57,46.279999,290.640015,116.010002,39.610001
136,79.129997,132.691956,74.150002,35.845001,27.639999,117.949997,73.610001,10.49,47.490002,128.820007,42.150002,81.889999,188.270004,111.529999,25.290001,32.27,48.52,107.360001,110.57,46.27,291.230011,116.25,39.16
137,80.0,132.645691,75.370003,36.700001,27.93,118.080002,73.629997,11.0,48.099998,128.490005,42.900002,80.309998,187.470001,110.650002,25.280001,33.869999,49.32,108.07,109.580002,46.650002,290.959991,115.510002,39.950001
138,80.480003,133.089737,75.860001,37.110001,29.450001,119.0,73.120003,11.38,49.049999,128.880005,43.0,80.410004,186.229996,109.389999,26.85,35.299999,49.889999,108.099998,110.580002,46.5,291.5299990000001,115.919998,40.029999
139,81.389999,134.50508100000002,76.0,37.25,31.389999,120.25,73.910004,11.32,49.740002,129.100006,43.290001,81.870003,186.990005,108.5,28.52,35.07,50.259998,108.150002,111.779999,45.880001,293.679993,116.349998,40.290001
140,81.610001,134.828857,76.129997,37.235001,31.969999,121.0,74.83000200000002,11.64,50.040001,129.759995,44.119999,82.730003,189.050003,107.440002,29.299999,36.110001,50.98,108.059998,112.239998,46.0,294.0,117.489998,40.349998
141,80.639999,134.939865,76.32,37.185001,30.59,121.139999,72.599998,11.21,49.959999,130.160004,43.900002,81.610001,191.149994,107.610001,28.049999,35.48,51.18,110.209999,113.209999,45.939999,293.26001,117.529999,40.439999
142,80.0,134.875122,76.08000200000002,37.189999,29.4,120.059998,71.190002,10.53,49.599998,129.020004,43.349998,79.110001,187.5,110.089996,27.209999,35.99000200000001,50.18,109.769997,112.949997,46.869999,291.690002,116.019997,39.919998
