,A,ABBV,ABC,ABT,AET,AGN,ALXN,AMGN,ANTM,BAX,BCR,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,DGX,DHR,DVA,ESRX,EVHC,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,ISRG,JNJ,LH,LLY,MCK,MDT,MNK,MRK,MTD,MYL,PDCO,PFE,PKI,PRGO,REGN,SYK,TMO,UHS,UNH,VAR,VRTX,WAT,XRAY,ZBH,ZTS
49,37.27,57.23,90.5,38.41,102.0,291.100006,151.96000700000005,151.100006,131.089996,36.959999,183.110001,146.610001,275.769989,64.16999799999999,17.280001000000002,82.32,101.510002,56.720001,132.089996,62.099998,129.419998,66.43,64.275963,66.110001,72.93,71.137726,78.18,90.0,68.790001,34.240002000000004,74.07,161.309998,65.610001,164.350006,70.010002,178.550003,102.5,113.139999,81.870003,154.78999299999995,75.959999,63.439999,50.330002,315.390015,51.889999,41.740002,30.700001,48.59,145.179993,436.0,98.93,130.860001,112.790001,112.290001,66.20594799999999,91.0,120.830002,59.259998,103.010002,43.400002
50,36.439999,53.419998,87.550003,36.689999,99.370003,286.359985,147.679993,149.399994,127.779999,35.639999,182.529999,143.309998,268.420013,61.650002,17.02,79.730003,97.269997,56.27,130.220001,59.130001,127.18,64.400002,64.473083,64.82,69.389999,64.19162,75.970001,84.279999,68.0,33.200001,73.639999,160.619995,67.699997,154.809998,68.239998,175.863327,102.889999,110.220001,77.360001,160.490005,74.360001,58.099998,49.799999,308.390015,50.84,41.349998,30.379999,47.169998,143.630005,415.220001,97.949997,129.070007,108.279999,111.93,65.40802,92.720001,117.889999,58.23,98.279999,43.200001
51,37.369999,54.16,89.110001,36.169998,103.25,283.399994,144.179993,151.309998,131.619995,36.369999,182.789993,144.110001,270.339996,61.869999,17.450001,76.5,99.690002,57.380001,133.339996,61.52,129.0,65.660004,65.51933299999999,66.730003,71.120003,65.838326,77.889999,82.32,69.449997,34.02,75.195,162.71000700000005,69.849998,156.729996,70.0,179.666672,103.610001,111.120003,78.209999,159.800003,74.510002,57.720001,50.389999,310.290009,51.919998,42.27,30.34,48.110001,143.139999,417.190002,96.790001,131.259995,112.279999,114.830002,67.091675,91.919998,121.68,58.450001,98.279999,43.0
52,37.18,53.639999,88.599998,38.0,103.050003,278.089996,141.639999,150.479996,129.169998,37.5,186.960007,144.919998,267.73999,60.029999,17.629998999999994,79.459999,99.040001,56.830002,133.199997,62.830002,131.070007,65.099998,64.329041,66.949997,71.260002,65.419159,77.610001,84.18,70.550003,35.150002,76.33000200000002,166.130005,70.290001,157.0,71.849998,179.806671,103.300003,111.099998,77.660004,158.139999,76.029999,65.0,50.27,314.480011,52.009998,42.709999,30.17,47.68,142.830002,412.679993,98.209999,129.309998,113.5,114.949997,66.98644300000001,90.589996,119.129997,59.700001,98.43,42.43
53,37.27,54.529999,88.339996,38.23,102.110001,282.0,132.5,150.5,127.620003,38.23,189.630005,147.0,267.579987,59.200001,18.0,78.43,97.800003,57.259998,132.03999299999998,61.009998,132.990005,64.33000200000001,64.533737,66.480003,70.209999,65.56886300000001,82.620003,84.910004,72.58000200000002,35.139999,76.010002,167.53999299999995,71.68,147.160004,69.540001,181.160004,103.650002,109.879997,76.459999,156.490005,77.349998,66.83000200000001,49.619999,312.420013,51.380001,42.93,29.91,47.709999,145.020004,413.049988,99.910004,127.940002,112.910004,114.370003,67.231972,91.540001,118.449997,59.860001,98.730003,41.84
54,37.150002,56.740002,80.510002,37.779999,100.720001,275.809998,143.809998,150.5,126.0,38.330002,184.509995,140.470001,270.160004,59.619999,17.25,76.889999,99.43,57.189999,130.600006,59.73,132.850006,63.919998,64.336617,65.050003,68.68,62.54491,83.190002,86.019997,70.199997,35.16,75.375,166.559998,71.589996,146.259995,68.91999799999999,181.21666,103.610001,108.150002,75.949997,151.740005,76.099998,68.0,49.700001,308.179993,51.939999,43.07,29.49,46.709999,145.419998,417.170013,99.0,126.360001,111.209999,112.669998,66.118309,93.489998,118.389999,59.220001,97.669998,41.150002
55,37.259998,56.25,84.0,38.23,102.040001,270.829987,146.199997,148.929993,126.629997,38.099998,186.919998,137.5,271.100006,59.75,17.25,76.260002,101.720001,58.360001,133.660004,60.029999,131.169998,63.84,65.223656,65.129997,67.730003,63.143711,83.459999,86.68,70.129997,35.02,75.004997,167.970001,70.760002,142.660004,70.68,183.666672,102.660004,107.940002,74.160004,152.03999299999995,76.040001,69.220001,48.599998,313.679993,52.209999,43.150002,29.02,42.459999,142.759995,416.100006,99.040001,127.0,111.220001,114.07,66.46030400000001,89.779999,117.330002,59.360001,96.059998,41.32
56,35.61000100000001,52.580002,83.889999,37.189999,98.339996,270.600006,138.020004,143.5,122.099998,37.080002,181.759995,134.240005,260.450012,59.040001,16.450001,75.959999,96.440002,54.889999,132.119995,55.779999,126.050003,61.540001,64.086426,63.279999,67.779999,59.580837,81.139999,84.190002,68.360001,32.950001,73.525002,164.130005,70.269997,135.009995,69.5,176.85333300000005,100.309998,105.07,73.550003,153.229996,73.529999,68.599998,48.93,308.429993,50.810001,42.389999,28.68,42.650002,142.270004,380.700012,96.089996,121.75,107.040001,110.5,65.083572,85.230003,114.339996,58.700001,94.949997,40.400002
57,34.209999,52.310001,82.690002,36.959999,93.739998,263.079987,136.970001,141.020004,117.050003,35.880001,177.970001,129.580002,246.539993,60.27,16.42,75.389999,96.730003,53.639999,124.489998,52.52,124.440002,59.779999,63.131161,61.830002,66.08000200000001,56.107784,75.639999,84.199997,65.940002,32.43,72.70500200000002,157.03999299999995,67.739998,133.580002,68.970001,169.046661,101.309998,100.059998,73.43,149.940002,71.269997,64.260002,48.689999,294.970001,49.720001,40.34,28.469999,40.91,136.910004,357.0,94.93,121.029999,103.290001,109.370003,64.215439,80.25,112.529999,56.700001,91.610001,39.580002
58,35.630001,54.110001,85.440002,37.580002,98.309998,274.049988,138.199997,145.21000700000005,120.510002,36.48,183.0,136.220001,253.350006,61.25,16.99,76.839996,101.839996,54.220001,128.630005,55.5,128.729996,60.709999,64.988625,62.75,67.650002,57.155689,77.43,88.690002,66.769997,33.209999,75.264999,161.169998,69.050003,140.490005,73.57,170.013336,102.050003,102.730003,73.730003,150.940002,73.860001,63.919998,49.509998,309.670013,51.209999,41.459999,29.33,42.849998,138.910004,370.019989,97.489998,126.07,106.440002,111.330002,65.811348,82.260002,116.730003,57.220001,92.089996,40.169998
59,35.119999,52.299999,84.25,36.439999,98.330002,272.559998,134.520004,140.759995,119.800003,36.290001,185.399994,135.630005,246.309998,59.880001,16.6,76.699997,100.209999,53.580002,127.959999,53.73,130.529999,61.259998,63.38893100000001,62.5,66.389999,57.994011,77.550003,86.5,66.110001,32.459999,77.220001,158.910004,68.660004,136.649994,58.599998,171.443329,100.459999,104.300003,72.199997,150.71000700000005,73.209999,61.130001,48.810001,301.950012,43.950001,41.669998,29.01,43.18,136.600006,358.299988,96.480003,122.860001,107.290001,111.32,66.49533100000001,79.209999,115.190002,56.880001,91.830002,38.98
60,35.84,52.529999,84.599998,36.700001,97.739998,277.299988,136.910004,143.130005,120.519997,36.110001,182.089996,136.869995,248.77999900000003,60.200001,16.700001,77.599998,100.989998,54.369999,128.729996,54.490002,134.619995,61.75,63.957542,61.619999,67.360001,57.275448,79.610001,88.660004,64.5,33.0,79.459999,158.339996,68.089996,139.880005,65.540001,174.383331,101.82,101.760002,71.57,151.520004,72.980003,60.52,48.98,301.309998,41.34,42.009998,29.25,44.400002,135.070007,371.359985,96.940002,124.519997,102.43,111.199997,66.33754,81.940002,117.849998,56.25,88.449997,39.810001
61,36.720001,53.439999,86.110001,37.130001,100.059998,283.420013,143.100006,146.889999,122.370003,36.880001,185.539993,141.190002,249.0,62.720001,16.780001000000002,79.559998,104.199997,55.389999,131.779999,54.220001,135.0,62.119999,65.337379,62.740002,67.41999799999999,56.257484,81.379997,90.720001,64.059998,33.099998,80.0,161.0,68.389999,144.350006,70.300003,178.666672,102.370003,103.580002,71.949997,152.0,73.989998,63.889999,49.400002,310.26001,42.27,42.639999,29.549999,44.98,139.28999299999998,386.399994,98.449997,127.720001,101.0,112.629997,67.258286,85.41999799999998,119.470001,54.049999,91.919998,41.66
62,35.220001,54.34,86.059998,38.369999,102.599998,287.0,143.929993,148.300003,125.0,37.669998,188.0,143.309998,256.290009,62.889999,17.4,79.760002,105.839996,50.099998,134.660004,55.77,138.899994,63.77,65.989388,62.860001,68.0,59.64072,85.16999799999998,91.089996,66.199997,34.07,81.230003,167.330002,69.699997,148.880005,72.66999799999998,178.513336,102.75,104.599998,74.010002,154.03999299999995,75.32,65.639999,50.0,314.0,43.799999,43.59,30.0,45.900002,141.410004,393.730011,98.089996,128.169998,107.169998,115.5,68.713936,86.07,120.419998,56.080002,94.110001,40.779999
63,37.73,55.529999,87.029999,38.34,105.220001,280.579987,148.520004,150.78999299999995,127.660004,38.139999,187.869995,144.5,266.600006,63.950001,17.540001,81.129997,105.5,53.0,135.600006,58.049999,139.320007,64.639999,65.663383,64.449997,69.089996,63.233532,86.720001,89.599998,67.400002,34.459999,81.720001,168.0,71.519997,154.630005,74.860001,180.286667,102.830002,105.910004,73.41999799999998,155.149994,75.529999,67.089996,50.599998,321.410004,46.459999,44.419998,29.82,45.689999,134.949997,395.649994,96.040001,130.259995,108.129997,118.5,69.02085100000001,87.870003,121.889999,56.029999,95.370003,41.560001
64,36.98,54.5,86.739998,38.32,104.800003,278.700012,142.279999,148.979996,127.580002,37.98,187.470001,143.360001,257.359985,62.919998,17.18,81.040001,103.059998,51.799999,137.0,55.689999,139.279999,65.91999799999999,65.633057,64.440002,68.32,62.485031000000006,86.290001,88.199997,67.480003,34.43,81.684998,167.800003,70.110001,149.229996,70.839996,179.550003,103.580002,108.57,72.690002,155.720001,74.949997,66.209999,50.25,314.570007,43.799999,44.360001,29.6,45.57,129.160004,386.450012,96.800003,129.520004,107.419998,117.5,68.58240500000001,85.989998,121.160004,55.52,94.940002,42.07
65,37.880001,54.290001,86.860001,38.529999,103.669998,275.75,147.78999299999995,148.720001,128.119995,38.169998,189.050003,145.630005,265.26001,63.900002,17.16,80.83000200000002,104.120003,51.700001,135.339996,56.52,141.830002,66.83000200000001,66.338135,64.230003,67.07,63.682636,86.910004,88.349998,68.089996,34.73,83.769997,166.5,71.839996,153.020004,73.57,183.0,104.160004,109.309998,72.910004,155.550003,75.870003,65.639999,50.279999,325.690002,46.349998,45.630001,29.75,47.400002,127.620003,399.049988,98.5,131.0,108.059998,119.099998,68.652557,89.410004,122.589996,56.709999,95.639999,42.119999
66,37.639999,55.700001,87.690002,38.91,106.779999,285.98999,144.220001,148.149994,131.899994,38.150002,189.320007,145.979996,264.809998,63.279999,17.110001,81.209999,104.43,51.16,135.690002,57.669998,141.580002,66.650002,66.209251,64.589996,68.889999,64.970062,86.5,89.099998,69.699997,34.349998,82.940002,171.679993,71.16999799999998,151.53999299999995,73.470001,182.383331,104.650002,110.050003,73.099998,156.0,76.239998,65.0,50.560001,322.959991,46.700001,45.049999,30.059999,47.540001,123.959999,392.0,98.510002,131.029999,109.769997,120.639999,68.67009,88.059998,121.919998,56.419998,94.790001,42.580002
67,36.650002,54.66,86.519997,38.18,107.019997,285.480011,140.660004,145.5,130.940002,37.93,190.850006,145.0,256.350006,61.84,17.139999,80.339996,100.690002,50.169998,137.490005,56.400002,140.350006,65.599998,65.837753,63.700001,68.16999799999999,66.52694699999999,86.339996,87.410004,69.349998,34.16,82.684998,172.820007,71.089996,148.389999,71.290001,181.33667,103.339996,108.300003,73.33000200000002,153.28999299999995,75.050003,64.32,50.16,313.720001,45.700001,44.48,29.809999,46.75,123.779999,383.690002,98.339996,128.380005,108.580002,119.93,67.547661,84.120003,120.25,56.299999,93.470001,41.939999
68,37.619999,55.169998,87.550003,39.220001,107.120003,285.420013,142.089996,147.360001,130.630005,39.07,194.070007,147.740005,261.899994,62.630001,17.48,82.230003,103.050003,51.869999,137.679993,57.849998,142.190002,66.480003,66.110687,64.459999,69.449997,66.347305,88.08000200000002,90.0,70.43,34.77,84.279999,171.78999299999995,71.730003,150.029999,74.0,185.0,104.949997,110.480003,74.269997,155.940002,76.68,66.519997,50.560001,317.209991,46.98,43.790001,30.1,47.279999,126.660004,396.359985,99.5,130.0,111.269997,120.199997,68.31933599999999,87.33000200000002,121.089996,59.139999,95.029999,42.369999
69,37.75,56.259998,87.849998,39.48,109.470001,298.98999,141.399994,148.509995,132.550003,39.830002,196.470001,149.0,264.059998,63.349998,17.35,83.0,103.099998,51.82,140.179993,58.0,145.46000700000005,66.83000200000001,67.13419300000001,65.66999799999999,70.809998,66.61676800000001,89.650002,90.610001,70.199997,35.36000100000001,85.004997,176.809998,73.510002,153.03999299999995,75.0,186.666672,106.82,110.839996,75.41999799999998,156.0,77.739998,67.83000200000001,51.049999,318.940002,47.07,45.330002,30.780001,47.73,129.899994,396.920013,102.080002,130.940002,107.900002,121.480003,69.503098,86.440002,122.099998,61.209999,96.900002,42.990002
70,37.59,55.869999,87.370003,39.34,109.519997,296.25,138.910004,146.96000700000005,131.860001,39.48,195.259995,149.28999299999995,262.679993,62.259998,17.17,82.75,102.870003,51.93,140.449997,57.75,144.479996,67.209999,67.369217,66.290001,71.0,67.365273,87.610001,87.870003,70.279999,35.0,83.889999,179.03999299999995,73.309998,154.520004,74.760002,188.823334,105.279999,110.790001,73.370003,156.559998,77.459999,68.050003,50.52,317.059998,47.0,44.389999,30.09,47.84,128.71000700000002,396.23999,101.040001,130.240005,112.879997,121.099998,69.099777,86.83000200000002,121.839996,60.330002,97.5,42.099998
71,37.630001,54.779999,86.800003,38.91,109.540001,293.170013,142.470001,144.300003,131.869995,39.650002,193.350006,148.600006,261.369995,62.310001,17.02,82.519997,101.830002,51.48,140.639999,57.540001,143.96000700000005,67.800003,68.134949,66.550003,70.690002,66.137726,87.279999,87.900002,69.66999799999999,34.790001000000004,82.980003,178.350006,73.41999799999998,152.199997,74.010002,188.07666,105.900002,110.93,72.629997,154.679993,74.290001,65.620003,50.389999,316.570007,46.459999,43.529999,29.790001,47.310001,127.07,387.859985,100.400002,129.839996,110.830002,119.489998,68.88932,86.129997,121.089996,61.099998,97.0,41.490002
72,38.490002,56.169998,87.43,39.349998,110.050003,295.339996,149.550003,148.0,132.059998,39.52,193.580002,149.820007,270.170013,64.18,17.18,82.58000200000002,103.889999,51.52,138.050003,58.18,144.940002,68.209999,68.514023,67.83000200000001,71.629997,66.976051,88.5,89.599998,70.529999,35.560001,84.720001,180.300003,75.230003,158.660004,74.790001,189.123337,106.910004,110.75,72.730003,156.330002,74.449997,65.58000200000001,51.630001,329.0,45.950001,43.939999,30.110001,47.91,126.190002,410.0,100.989998,134.839996,113.949997,121.230003,69.327766,88.940002,123.110001,59.75,97.43,41.91
73,38.919998,55.689999,87.629997,38.560001,109.32,291.0,150.75,147.220001,133.25,39.48,192.570007,150.649994,272.220001,64.489998,17.26,82.800003,104.080002,51.119999,139.880005,59.02,143.190002,67.699997,68.885521,68.099998,71.290001,68.71257800000001,88.089996,89.129997,71.230003,35.950001,84.025002,182.050003,75.209999,156.839996,74.0,190.003326,106.82,109.739998,73.800003,158.160004,74.339996,65.470001,52.18,329.809998,45.82,43.619999,29.879999,49.200001,125.910004,406.230011,102.0,137.75,115.5,120.860001,69.064697,92.25,125.610001,60.119999,97.019997,41.720001
